date,heure,lieu,equipement,type_panne,gravite,priorite,mois,annee
2025-01-01,13H02min,GDR1507,MP,Pistolet HS,Modérée,Moyenne,2025-01,2025
2025-01-01,10H43min,GDR1506,HSE,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-01,14H15min,GDR3522,Electricité,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-01,,GDR1504,Stabilisateur,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-01,15H14min,PVA CHABANE,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-01,15H29min,GDR3523,MP 01,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-01,16H38min,MGX,VVF P.Immergée,Anomalie technique,Mineure,Basse,2025-01,2025
2025-01-01,9H50min,GDR1502,MP 02,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-01,9H10min,GDR1506,Duplex GO,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-01,,GDR1513,VVF P.Immergée,Pompe HS,Modérée,Moyenne,2025-01,2025
2025-01-01,,GDR1501,HSE,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-01,18H20min,GDR1507,VVF P.Immergée,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-01,9H10min,GDR1513,Electricité,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-01,14H38min,GDR1512,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-01,16H21min,GDR1513,Cuve GPLc,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-01,12H27min,GDR1512,Simplex GO,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-01,10H50min,GDR1518,Electricité,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-01,8H42min,GDR1502,Bâtiments et Pistes,Lampe grillée,Modérée,Moyenne,2025-01,2025
2025-01-01,9H12min,GDR3522,Duplex GO,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-01,18H07min,GDR1515,MP,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-01,10H18min,GDR3522,Simplex GO,Contrôle débit,Modérée,Moyenne,2025-01,2025
2025-01-01,8H59min,GDR1513,VC,Tuyauterie défectueuse,Mineure,Moyenne,2025-01,2025
2025-01-01,,PVA AGOUDJIL,Trous d'homme,Eau dans cuve,Modérée,Moyenne,2025-01,2025
2025-01-01,14H35min,GDR1512,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-01,19H30min,GL HAMOUTENE,Duplex GO,Fuite carburant,Modérée,Moyenne,2025-01,2025
2025-01-01,14H17min,GDR1516,Duplex GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-01,9H41min,GDR1505,MP 02,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-01,9H56min,GDR1505,VC,Tuyauterie défectueuse,Mineure,Moyenne,2025-01,2025
2025-01-01,18H37min,GDR1504,Simplex GO,Eau dans cuve,Modérée,Urgente,2025-01,2025
2025-01-01,14H09min,GDR1513,Duplex GO,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-01,15H17min,GDR3523,MP 01,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-01,20H29min,GDR1513,Baie de Service,Problème électrique,Mineure,Moyenne,2025-01,2025
2025-01-01,18H10min,GDR1506,Bâtiments et Pistes,Lampe grillée,Modérée,Moyenne,2025-01,2025
2025-01-01,16H17min,GDR1510,Baie de Service,Pistolet HS,Mineure,Moyenne,2025-01,2025
2025-01-01,18H15min,GDR1510,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-01,13H01min,GDR1502,Groupe électrogène,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-01,12H37min,GDR1506,Duplex GPLc,Compteur défectueux,Modérée,Urgente,2025-01,2025
2025-01-01,11H40min,GDR1510,Stabilisateur,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-01,8H05min,PVA HOUAMDI,TGBT,Problème électrique,Mineure,Basse,2025-01,2025
2025-01-02,16H26min,GDR1518,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-02,9H37min,GDR1512,Bâtiments et Pistes,Lampe grillée,Mineure,Moyenne,2025-01,2025
2025-01-02,10H45min,GDR3523,Cuve Carburants,Eau dans cuve,Critique,Urgente,2025-01,2025
2025-01-02,15H16min,GDR1510,Duplex GO,Pistolet HS,Modérée,Moyenne,2025-01,2025
2025-01-02,12H41min,GDR1513,Duplex GPLc,Anomalie technique,Critique,Urgente,2025-01,2025
2025-01-02,9H42min,GDR2322,MP,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-02,12H23min,GDR3523,Simplex GO,Fuite carburant,Critique,Urgente,2025-01,2025
2025-01-02,14H47min,GDR1512,Groupe électrogène,Anomalie technique,Modérée,Moyenne,2025-01,2025
2025-01-02,18H20min,GDR1505,Duplex GPLc,Anomalie technique,Modérée,Urgente,2025-01,2025
2025-01-02,10H56min,GDR3523,Bâtiments et Pistes,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-02,16H56min,GDR1510,Réseau Mécanique,Contrôle débit,Mineure,Moyenne,2025-01,2025
2025-01-02,16H02min,GDR1502,Pompe a eau,Panne arrêt total,Modérée,Urgente,2025-01,2025
2025-01-02,,GDR1517,Groupe électrogène,Anomalie technique,Mineure,Moyenne,2025-01,2025
2025-01-02,18H15min,GDR1518,Duplex GPLc,Anomalie technique,Critique,Urgente,2025-01,2025
